Series Name,Country Name,Number of Arrivals 
"International tourism, number of arrivals",New Caledonia,474000
"International tourism, number of arrivals",New Zealand,3888000
"International tourism, number of arrivals",Nicaragua,1455000
"International tourism, number of arrivals",Niger,192000
"International tourism, number of arrivals",Nigeria,..
"International tourism, number of arrivals",North Macedonia,758000
"International tourism, number of arrivals",Northern Mariana Islands,487000
"International tourism, number of arrivals",Norway,5879000
"International tourism, number of arrivals",Oman,3506000
"International tourism, number of arrivals",Pakistan,..
"International tourism, number of arrivals",Palau,94000
"International tourism, number of arrivals",Panama,2494000
"International tourism, number of arrivals",Papua New Guinea,211000
"International tourism, number of arrivals",Paraguay,4368000
"International tourism, number of arrivals",Peru,5275000
"International tourism, number of arrivals",Philippines,8261000
"International tourism, number of arrivals",Poland,88515000
"International tourism, number of arrivals",Portugal,17174000
"International tourism, number of arrivals",Puerto Rico,4931000
"International tourism, number of arrivals",Qatar,2136500
"International tourism, number of arrivals",Romania,12815000
"International tourism, number of arrivals",Russian Federation,24419000
"International tourism, number of arrivals",Rwanda,1634000
"International tourism, number of arrivals",Samoa,181000
"International tourism, number of arrivals",San Marino,1904000
"International tourism, number of arrivals",Sao Tome and Principe,..
"International tourism, number of arrivals",Saudi Arabia,20292000
"International tourism, number of arrivals",Senegal,..
"International tourism, number of arrivals",Serbia,1847000
"International tourism, number of arrivals",Seychelles,428000
"International tourism, number of arrivals",Sierra Leone,71000
"International tourism, number of arrivals",Singapore,19116000
"International tourism, number of arrivals",Sint Maarten (Dutch part),1952000
"International tourism, number of arrivals",Slovak Republic,..
"International tourism, number of arrivals",Slovenia,4702000
"International tourism, number of arrivals",Solomon Islands,28899.99962
"International tourism, number of arrivals",Somalia,..
"International tourism, number of arrivals",South Africa,14797000
"International tourism, number of arrivals",South Sudan,..
"International tourism, number of arrivals",Spain,126170000
"International tourism, number of arrivals",Sri Lanka,2027000
"International tourism, number of arrivals",St. Kitts and Nevis,1107000
"International tourism, number of arrivals",St. Lucia,1220000
"International tourism, number of arrivals",St. Martin (French part),..
"International tourism, number of arrivals",St. Vincent and the Grenadines,392000
"International tourism, number of arrivals",Sudan,..
"International tourism, number of arrivals",Suriname,..
"International tourism, number of arrivals",Sweden,7616000
"International tourism, number of arrivals",Switzerland,11818000
"International tourism, number of arrivals",Syrian Arab Republic,2424000
"International tourism, number of arrivals",Tajikistan,..
"International tourism, number of arrivals",Tanzania,1527000
"International tourism, number of arrivals",Thailand,39916000
"International tourism, number of arrivals",Timor-Leste,74800.00305
"International tourism, number of arrivals",Togo,876000
"International tourism, number of arrivals",Tonga,94000
"International tourism, number of arrivals",Trinidad and Tobago,480000
"International tourism, number of arrivals",Tunisia,9429000
"International tourism, number of arrivals",Turkey,51747000
"International tourism, number of arrivals",Turkmenistan,..
"International tourism, number of arrivals",Turks and Caicos Islands,1599000
"International tourism, number of arrivals",Tuvalu,..
"International tourism, number of arrivals",Uganda,..
"International tourism, number of arrivals",Ukraine,13710000
"International tourism, number of arrivals",United Arab Emirates,21553000
"International tourism, number of arrivals",United Kingdom,40857000
"International tourism, number of arrivals",United States,166009000
"International tourism, number of arrivals",Uruguay,3480000
"International tourism, number of arrivals",Uzbekistan,6749000
"International tourism, number of arrivals",Vanuatu,256000
"International tourism, number of arrivals","Venezuela, RB",..
"International tourism, number of arrivals",Vietnam,18009000
"International tourism, number of arrivals",Virgin Islands (U.S.),2074000
"International tourism, number of arrivals",West Bank and Gaza,688000
"International tourism, number of arrivals","Yemen, Rep.",..
"International tourism, number of arrivals",Zambia,1266000
"International tourism, number of arrivals",Zimbabwe,2294000
"International tourism, number of arrivals",Arab World,116080347.5
"International tourism, number of arrivals",Caribbean small states,19819087.26
"International tourism, number of arrivals",Central Europe and the Baltics,314638365.1
"International tourism, number of arrivals",Early-demographic dividend,369336988.9
"International tourism, number of arrivals",East Asia & Pacific,487076537.2
"International tourism, number of arrivals",East Asia & Pacific (excluding high income),292914980.5
"International tourism, number of arrivals",East Asia & Pacific (IDA & IBRD countries),289303382.6
"International tourism, number of arrivals",Euro area,..
"International tourism, number of arrivals",Europe & Central Asia,1183445652
"International tourism, number of arrivals",Europe & Central Asia (excluding high income),167840542.5
"International tourism, number of arrivals",Europe & Central Asia (IDA & IBRD countries),331270663.5
"International tourism, number of arrivals",European Union,966435420.9
"International tourism, number of arrivals",Fragile and conflict affected situations,..
"International tourism, number of arrivals",Heavily indebted poor countries (HIPC),..
"International tourism, number of arrivals",High income,1503831194
"International tourism, number of arrivals",IBRD only,844994594.4
"International tourism, number of arrivals",IDA & IBRD total,948013547.3
"International tourism, number of arrivals",IDA blend,..
"International tourism, number of arrivals",IDA only,76844519.62
"International tourism, number of arrivals",IDA total,101793852.1
"International tourism, number of arrivals",Late-demographic dividend,549832276.9
"International tourism, number of arrivals",Latin America & Caribbean,201852567.1
"International tourism, number of arrivals",Latin America & Caribbean (excluding high income),163166702.3
"International tourism, number of arrivals",Latin America & the Caribbean (IDA & IBRD countries),172906908.8
"International tourism, number of arrivals",Least developed countries: UN classification,41000895.37
"International tourism, number of arrivals",Low & middle income,776460093.1
"International tourism, number of arrivals",Low income,..
"International tourism, number of arrivals",Lower middle income,166759481.5
"International tourism, number of arrivals",Middle East & North Africa,127987047.7
"International tourism, number of arrivals",Middle East & North Africa (excluding high income),67608256.18
"International tourism, number of arrivals",Middle East & North Africa (IDA & IBRD countries),66910597.29
"International tourism, number of arrivals",Middle income,738732258
"International tourism, number of arrivals",North America,199244000
"International tourism, number of arrivals",Not classified,..
"International tourism, number of arrivals",OECD members,1338831082
"International tourism, number of arrivals",Other small states,51930012.47
"International tourism, number of arrivals",Pacific island small states,1752269.772
"International tourism, number of arrivals",Post-demographic dividend,1275198370
"International tourism, number of arrivals",Pre-demographic dividend,..
"International tourism, number of arrivals",Small states,74170634.25
"International tourism, number of arrivals",South Asia,26260132.18
"International tourism, number of arrivals",South Asia (IDA & IBRD),26260132.18
"International tourism, number of arrivals",Sub-Saharan Africa,55251253.91
"International tourism, number of arrivals",Sub-Saharan Africa (excluding high income),53270366.17
"International tourism, number of arrivals",Sub-Saharan Africa (IDA & IBRD countries),55251253.91
"International tourism, number of arrivals",Upper middle income,574513271.5
"International tourism, number of arrivals",World,2280131088
,,
,,
,,
Data from database: World Development Indicators,,
Last Updated: 03/19/2021,,
