pid,nameAttested,nameTransliterated,bbox,id,reprLat,reprLong,timePeriods,timePeriodsKeys,minDate,maxDate,geometry,featureType
/places/104811110,NULL,Sanaa,"40.0, 15.0, 45.0, 20.0",osm-location-of-sanaa,17.500000000000000000000000000000,42.500000000000000000000000000000,M,modern-middle-east,1918,2000,"{""type"": ""Point"", ""coordinates"": [44.2005197, 15.342101]}","settlement,"
/places/104811110,NULL,SanÊ¿aÊ¾,NULL,san2bfa2be-2,NULL,NULL,E,early-ottoman-empire,1453,1683,"{""type"": ""Point"", ""coordinates"": [44.2005197, 15.342101]}","settlement,"
/places/104811110,NULL,SanÊ¿aÊ¾,NULL,osm-location-of-sanaa,NULL,NULL,E,early-ottoman-empire,1453,1683,"{""type"": ""Point"", ""coordinates"": [44.2005197, 15.342101]}","settlement,"
/places/104925762,NULL,Casa della nave,NULL,casa-della-nave,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,Casa della nave,NULL,casa-della-nave-europa,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,Casa della nave Europa,NULL,name.2015-06-08.1545944941,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,Casa della nave Europa,NULL,casa-della-nave-europa,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,Casa delle navi,NULL,casa-delle-navi,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,Casa delle navi,NULL,casa-della-nave-europa,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,"I.15.3,2,4",NULL,I-15.3,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/104925762,NULL,"I.15.3,2,4",NULL,casa-della-nave-europa,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [14.4919761, 40.7504704]}","townhouse,"
/places/1052,NULL,Italia,NULL,italia,NULL,NULL,NULL,NULL,0,0,"{""type"": ""Polygon"", ""coordinates"": [[[10.0, 40.0], [10.0, 45.0], [15.0, 45.0], [15.0, 40.0], [10.0, 40.0]]]}",unknown
